,355453700036100069,355453700040100118,355453700060100088,355453700063100033,355453700065100135,355453700084100049,355453700089100027,355453700114100086,355453700118100036,355453700167100109,355453700168100078,355453700168100233,355453700190100112,355453700193100165,355453700242100076,355453700242100253,355453700266100110,355453700266100314,355453700269100178,355453700271100081,355453700314100099,355453700314100162,355453700314100268,355453700317100085,355453700317100125,355453700320100138,3534026300208100070,3534026300210100151,3534026300232100101,3534026300288100143,3534026300288100191,3534026300289100217,3534026300290100163,3534026300293100118,3534026300293100220,3534026300293200381,3534026300314100063,3534026300318100154,3534026300318200298,3534026300344200460,3534026300345100167,3534026300370100034,3534026300370100241,3534026300372100180,3534026300398100036,3534026300400100158,3534026300426100100,3534026300479100021,3534026300501100260,3534026300502100249,3534026300504100057,3534026300504100092,3534026300532100147,3534026300533100228,3534026300534100166,3534026300557100286,3534026300558100142,3534026300558100311,3534026300610100156,3578036000118100203,3578036000145100040,3578036000166100177,3578036000214100202,3578036000220100024,3578036000220200194,3578036000221100251,3578036000245100066,3578036000246100125,3578036000247100218,3578036000293100157,3578036000296100353,3578036000347100448,3578036000369100149,3578036000373200139,3578036000419100079,3578036000421100150,3578036000445100190,3578036000446100175,3578036000446100315,3578036000492100074,3578036000493100227,3578036000494100020,3578036000516100164,3578036000517100157,3578036000544100113,3578036000545100039,3578036000568100020,3576544000009100025,3576544000011100053,3576544000011100072,3576544000012100398,3576544000028100374,3576544000029100022,3576544000032100105,3576544000034100127,3576544000048100020,3576544000050100033,3576544000050100191,3576544000055100100,3576544000055100360,3576544000060100295,3576544000073100231,3576544000081100255,3576544000092100048,3576544000095100152,3576544000098100183,3576544000101100135,3576544000101100328,3576544000103200147,3576544000104100169,3576544000131100034,3576544000143100177,3576544000162200024,3576544000173100096,3576544000174100050,3546917500027100073,3546917500029100162,3546917500031100332,3546917500072100068,3546917500074100109,3546917500085100101,3546917500086100165,3546917500086100309,3546917500088100029,3546917500088100037,3546917500093100122,3546917500103100468,3546917500103200177,3546917500104100143,3546917500105100328,3546917500106100116,3546917500109100062,3546917500112100347,3546917500143100069,3546917500160100024,3546917500162100756,3546917500164100159,3546917500184100336,3546917500204100166,3546917500221100199,3546917500223100065,3546917500224100192,3546917500241100253,3546917500242100031,3546917500261100024,3546917500264100137,3546917500302200237,3546917500303100107,354224800027100066,354224800028100057,354224800029100147,354224800029100206,354224800029200079,354224800030100027,354224800048100038,354224800050100316,354224800052100254,354224800054100052,354224800056100052,354224800071200063,354224800075100035,354224800076100244,354224800077100055,354224800077100145,354224800078100065,354224800095100131,354224800100100325,354224800112100171,354224800117100176,354224800120100091,354224800133100345,354224800134100373,354224800140100066,354224800144100084,354224800144100255,354224800162100421,354224800164100167,354224800205100077,354224800226100163,354224800228100158,354224800246100137,354224800249100180,354224800269100295,354224800271100041,354224800332100049,354224800332100070,3627584600020100107,3627584600021100402,3627584600043100084,3627584600044200284,3627584600046100267,3627584600046100550,3627584600071100321,3627584600095100062,3627584600095100467,3627584600097100318,3627584600119100679,3627584600120100235,3627584600120100542,3627584600122100287,3627584600122100490,3627584600122200190,3627584600144100135,3627584600145100130,3627584600146100215,3627584600171100218,3627584600195100080,3627584600222100235,3627584600222100282,3627584600246100108,3627584600270100105,3627584600294100143,3627584600318100055,3627584600319100062,3627584600340100097,3627584600341100229,3627584600343100105,3627584600344100384,363527800189100406,363527800190100077,363527800190100245,363527800190100346,363527800190100474,363527800190100496,363527800217100131,363527800219200054,363527800220100345,363527800221100129,363527800246100154,363527800273100045,363527800276100145,363527800277100168,363527800301100068,363527800301100225,363527800303100038,363527800331100268,363527800355100483,363527800358100084,363527800383100162,363527800386100021,363527800410100186,363527800412100049,363527800415100237,363527800439100197,363527800464100061,363527800466100230,363527800467100276,363527800490100049,363527800492100430,363527800496100386,363527800515200186,363527800516100163,363527800518100074,363527800521100030,363527800542100110,363527800576100035,3603651200146100227,3603651200167100191,3603651200168100087,3603651200168100145,3603651200168200169,3603651200169100142,3603651200169100414,3603651200172100362,3603651200194100231,3603651200195100031,3603651200195100293,3603651200196100125,3603651200219100027,3603651200222100421,3603651200246100071,3603651200247100082,3603651200248200071,3603651200270200240,3603651200296100030,3603651200296100163,3603651200296100195,3603651200296200208,3603651200321100369,3603651200322100111,3603651200323100056,3603651200346100040,3603651200348100181,3603651200371100085,3603651200420100040,3603651200422100043,3603651200447100013,3603651200447100163,3603651200496100149,3675195100049100070,3675195100073100114,3675195100073100138,3675195100083100058,3675195100103100325,3675195100105100022,3675195100113100376,3675195100164100070,3675195100166100064,3675195100167100027,3675195100182100091,3675195100198100027,3675195100213100120,3675195100215200133,3675195100230200063,3675195100243100255,3675195100245100113,3675195100246100065,3675195100276100042,3675195100314100106,3675195100315200089,3675195100348100066,3675195100348100266,3675195100379100148,3675195100411100274,3675195100442100152,3675195100475100125,3675195100476100084,3675195100476100085,3675195100508100202,3675195100509100299,3675195100539100149,3675195100540100372,3484420000354100259,3484420000358100041,3484420000386100066,3484420000387100039,3484420000419100215,3484420000539100203,3484420000628100049,3484420000652100111,3484420000658100024,3484420000686100183,3484420000715100334,3484420000716200010,3484420000740100180,3484420000745100119,3484420000747100089,3484420000776200142,3484420000777200024,3484420000803100078,3484420000803100090,3484420000862100229,3484420000890100063,3484420000911100075,3484420000915100051,3484420000918100100,3484420000939100185,3484420000940100157,3484420000944100025,3484420000944100062,3484420000945100191,3484420000951200090,3484420000969100251,3484420001002100063,3484420001003100037,3484420001008100017,3484420001030100156,3484420001035100024,3484420001059100151,3484420001060100011,3484420001060100065,3484420001061100135,3495821200197100254,3495821200221100042,3495821200243100017,3495821200293100222,3495821200294100044,3495821200317100211,3495821200317200165,3495821200338100032,3495821200338100234,3495821200363100164,3495821200364100183,3495821200367100310,3495821200389100480,3495821200390200006,3495821200414100522,3495821200415100120,3495821200416100046,3495821200417100218,3495821200418100235,3495821200443100078,3495821200449100195,3495821200463100175,3495821200468100349,3495821200468200298,3495821200470100079,3495821200470100111,3495821200473100067,3495821200491100079,3495821200491100355,3495821200494100071,3495821200494100277,3495821200518100270,3495821200539100065,3495821200544100171,3495821200545100463,3495821200568100135
Sdhd,1,0,1,1,1,3,2,0,0,3,0,1,0,1,2,0,0,0,0,0,0,1,0,1,0,1,2,1,0,2,0,1,0,2,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0,1,5,2,1,1,0,0,1,0,1,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,1,2,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,0,2,3,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,2,4,1,2,0,2,0,1,1,2,0,2,3,1,2,1,0,1,0,2,0,3,0,4,0,0,3,2,0,0,0,0,0,0,0,0,1,4,0,2,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,1,0,1,0,2,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,3,2,0,2,0,0,1,0,0,2,0,0,0
Pdgfra,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,3,0,0,0,0,0,1
Rpa1,1,1,4,1,1,3,0,2,0,3,3,0,1,0,0,0,1,0,0,1,0,1,1,1,3,3,0,2,0,2,0,4,5,2,0,0,1,0,1,4,2,2,0,3,0,2,0,2,0,0,6,4,0,2,0,0,2,1,3,1,0,1,3,0,3,0,0,2,0,2,0,0,0,0,0,0,1,4,0,0,0,1,0,2,1,0,0,0,0,1,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,1,0,1,1,2,2,1,0,0,1,0,0,1,0,1,3,0,2,0,0,1,0,1,0,3,0,1,2,0,2,1,1,2,1,0,0,0,3,0,1,0,1,0,0,2,1,1,0,4,0,0,0,1,1,1,3,0,1,1,3,0,0,4,1,3,1,0,2,0,2,5,1,0,3,4,1,0,1,3,0,2,0,3,2,1,1,0,5,1,5,1,1,0,1,0,4,5,2,0,1,2,2,0,0,0,0,0,0,1,0,0,1,1,1,2,0,3,1,0,1,0,0,0,1,0,3,0,2,1,0,1,3,2,0,0,0,4,1,0,0,4,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,1,0,4,4,1,1,0,0,2,0,0,2,1,2,0,1,0,0,2,3,2,0,1,0,1,0,0,4,3,0,0,0,1,2,0,0,2,0,1,1,0,1,2,0,3,2,1,0,0,1,0,1,2,2,0,2,3,0,1,3,0,3,1,0,1,0,6,0,3,1,2,0,0,0,2,1,1,4,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,1,0,3,1,1,0,0,1,2,0,0,0,3,1,0,1,1,2,0,0,2,0,1,0,0,1,0,0,0,3,0,0,3
S100a6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnn1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col1a1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gtf2h4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Ace,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ogdh,5,10,5,7,4,20,10,14,6,10,6,1,5,4,3,1,2,5,6,2,2,6,3,3,7,4,4,2,5,2,1,9,11,0,0,5,3,1,1,7,9,5,0,7,8,4,0,8,0,7,13,5,2,8,4,0,8,4,1,2,0,2,2,2,1,0,4,5,2,1,0,0,6,1,6,6,2,1,3,0,4,3,3,1,0,0,3,0,1,5,1,1,5,4,6,0,7,1,6,0,2,0,1,0,11,5,1,0,3,3,0,4,4,4,3,1,9,3,4,10,2,6,0,6,8,4,6,3,9,2,0,3,2,1,0,0,1,1,2,4,5,6,6,1,2,9,8,6,7,5,7,7,2,5,1,3,0,6,12,2,7,0,7,5,0,7,2,6,14,6,0,8,11,6,3,0,5,4,4,1,0,4,1,7,3,2,6,7,1,3,3,1,6,0,3,7,1,5,1,5,3,10,1,9,6,15,3,5,2,9,9,11,0,4,1,4,3,1,2,0,1,0,3,3,2,5,1,3,4,2,4,1,2,5,4,4,1,3,1,7,4,0,3,2,3,5,4,1,1,3,0,2,5,2,6,1,3,1,0,5,7,3,1,0,3,2,0,5,1,0,8,4,0,4,13,4,3,2,3,0,4,1,1,4,11,2,5,5,5,3,7,4,4,2,1,0,2,0,4,1,2,1,2,3,3,3,2,2,5,1,0,2,3,0,0,0,4,0,3,3,0,2,0,6,8,8,0,6,3,4,0,9,1,5,0,2,0,1,3,1,5,2,3,3,3,10,3,1,4,6,0,0,0,9,2,3,1,0,1,3,2,1,10,4,0,4,3,12,6,5,0,2,1,2,1,0,0,7,5,4,3,6,7,4,3,13,7,4,3,5,6,5,5,0,1,4,0,0
