cell_id,Age,batch,volume
355453700036100069,Old,1,2162.952880859375
355453700040100118,Old,1,1989.859375
355453700060100088,Old,1,3124.58056640625
355453700063100033,Old,1,2525.467041015625
355453700065100135,Old,1,1776.314453125
355453700084100049,Old,1,3214.551025390625
355453700089100027,Old,1,2819.23779296875
355453700114100086,Old,1,2536.05322265625
355453700118100036,Old,1,2706.413818359375
355453700167100109,Old,1,3359.681640625
355453700168100078,Old,1,3152.232177734375
355453700168100233,Old,1,151.5690612792969
355453700190100112,Old,1,2187.322265625
355453700193100165,Old,1,2349.555419921875
355453700242100076,Old,1,2754.577880859375
355453700242100253,Old,1,1038.77978515625
355453700266100110,Old,1,2396.186767578125
355453700266100314,Old,1,1392.878295898438
355453700269100178,Old,1,1407.9814453125
355453700271100081,Old,1,3270.763916015625
355453700314100099,Old,1,307.6116333007812
355453700314100162,Old,1,2909.3896484375
355453700314100268,Old,1,1732.121459960938
355453700317100085,Old,1,2513.995849609375
355453700317100125,Old,1,1978.919921875
355453700320100138,Old,1,2740.833740234375
3534026300208100070,Yng,1,2968.068115234375
3534026300210100151,Yng,1,3070.296630859375
3534026300232100101,Yng,1,2586.45556640625
3534026300288100143,Yng,1,2585.878662109375
3534026300288100191,Yng,1,1925.123657226562
3534026300289100217,Yng,1,2221.758544921875
3534026300290100163,Yng,1,3263.64697265625
3534026300293100118,Yng,1,498.9406433105469
3534026300293100220,Yng,1,156.5731201171875
3534026300293200381,Yng,1,1402.349243164062
3534026300314100063,Yng,1,2916.722412109375
3534026300318100154,Yng,1,1001.158996582031
3534026300318200298,Yng,1,665.5745849609375
3534026300344200460,Yng,1,2853.109375
3534026300345100167,Yng,1,3140.500244140625
3534026300370100034,Yng,1,1367.531372070312
3534026300370100241,Yng,1,658.7600708007812
3534026300372100180,Yng,1,1859.507446289062
3534026300398100036,Yng,1,1773.062622070312
3534026300400100158,Yng,1,2997.501708984375
3534026300426100100,Yng,1,100.4534454345703
3534026300479100021,Yng,1,1943.782348632812
3534026300501100260,Yng,1,676.684326171875
3534026300502100249,Yng,1,1813.547241210938
3534026300504100057,Yng,1,3395.349609375
3534026300504100092,Yng,1,2669.816650390625
3534026300532100147,Yng,1,1717.239135742188
3534026300533100228,Yng,1,2067.279296875
3534026300534100166,Yng,1,2003.080078125
3534026300557100286,Yng,1,215.025634765625
3534026300558100142,Yng,1,3315.95654296875
3534026300558100311,Yng,1,613.529052734375
3534026300610100156,Yng,1,1635.00732421875
3578036000118100203,Yng,2,2814.0107421875
3578036000145100040,Yng,2,729.1648559570312
3578036000166100177,Yng,2,3289.4501953125
3578036000214100202,Yng,2,2632.956298828125
3578036000220100024,Yng,2,2269.0947265625
3578036000220200194,Yng,2,1675.92724609375
3578036000221100251,Yng,2,381.6265258789062
3578036000245100066,Yng,2,1762.710205078125
3578036000246100125,Yng,2,2542.46044921875
3578036000247100218,Yng,2,3244.948486328125
3578036000293100157,Yng,2,3218.339111328125
3578036000296100353,Yng,2,467.2916259765625
3578036000347100448,Yng,2,600.2139282226562
3578036000369100149,Yng,2,3101.7587890625
3578036000373200139,Yng,2,1938.361328125
3578036000419100079,Yng,2,2990.5498046875
3578036000421100150,Yng,2,3246.043212890625
3578036000445100190,Yng,2,3078.7744140625
3578036000446100175,Yng,2,2113.756591796875
3578036000446100315,Yng,2,1976.0537109375
3578036000492100074,Yng,2,2769.841796875
3578036000493100227,Yng,2,2528.888671875
3578036000494100020,Yng,2,2946.905517578125
3578036000516100164,Yng,2,2707.22509765625
3578036000517100157,Yng,2,2263.519287109375
3578036000544100113,Yng,2,1627.507934570312
3578036000545100039,Yng,2,1114.41064453125
3578036000568100020,Yng,2,2356.04931640625
3576544000009100025,Old,2,1509.652221679688
3576544000011100053,Old,2,2712.989501953125
3576544000011100072,Old,2,3070.947998046875
3576544000012100398,Old,2,853.302001953125
3576544000028100374,Old,2,851.2260131835938
3576544000029100022,Old,2,2623.025634765625
3576544000032100105,Old,2,3063.140869140625
3576544000034100127,Old,2,3271.717529296875
3576544000048100020,Old,2,2639.986083984375
3576544000050100033,Old,2,2802.918701171875
3576544000050100191,Old,2,2643.33984375
3576544000055100100,Old,2,3244.920654296875
3576544000055100360,Old,2,156.9540100097656
3576544000060100295,Old,2,1027.935180664062
3576544000073100231,Old,2,275.50390625
3576544000081100255,Old,2,1253.89501953125
3576544000092100048,Old,2,3191.275634765625
3576544000095100152,Old,2,3071.22412109375
3576544000098100183,Old,2,2367.943359375
3576544000101100135,Old,2,3131.47900390625
3576544000101100328,Old,2,2268.886474609375
3576544000103200147,Old,2,2382.343994140625
3576544000104100169,Old,2,2209.181884765625
3576544000131100034,Old,2,1975.554077148438
3576544000143100177,Old,2,2042.122314453125
3576544000162200024,Old,2,1331.858276367188
3576544000173100096,Old,2,1555.582153320312
3576544000174100050,Old,2,2531.689208984375
3546917500027100073,Old,3,2902.553955078125
3546917500029100162,Old,3,3372.49462890625
3546917500031100332,Old,3,1125.114990234375
3546917500072100068,Old,3,2738.770751953125
3546917500074100109,Old,3,2964.452392578125
3546917500085100101,Old,3,1148.777221679688
3546917500086100165,Old,3,2866.617919921875
3546917500086100309,Old,3,642.2111206054688
3546917500088100029,Old,3,2834.484130859375
3546917500088100037,Old,3,2826.574462890625
3546917500093100122,Old,3,2376.5751953125
3546917500103100468,Old,3,1639.681030273438
3546917500103200177,Old,3,990.2969970703125
3546917500104100143,Old,3,1589.927856445312
3546917500105100328,Old,3,1880.782470703125
3546917500106100116,Old,3,184.5984802246094
3546917500109100062,Old,3,2874.12939453125
3546917500112100347,Old,3,913.7606811523438
3546917500143100069,Old,3,653.0416870117188
3546917500160100024,Old,3,2857.578369140625
3546917500162100756,Old,3,319.571533203125
3546917500164100159,Old,3,2222.113037109375
3546917500184100336,Old,3,3033.50146484375
3546917500204100166,Old,3,1205.347900390625
3546917500221100199,Old,3,1392.99560546875
3546917500223100065,Old,3,2114.219970703125
3546917500224100192,Old,3,2864.30615234375
3546917500241100253,Old,3,3195.29638671875
3546917500242100031,Old,3,2727.9326171875
3546917500261100024,Old,3,2325.858154296875
3546917500264100137,Old,3,1600.483764648438
3546917500302200237,Old,3,1255.55517578125
3546917500303100107,Old,3,2576.63134765625
354224800027100066,Yng,3,2875.8388671875
354224800028100057,Yng,3,2000.331420898438
354224800029100147,Yng,3,2641.346923828125
354224800029100206,Yng,3,2810.44921875
354224800029200079,Yng,3,1777.26904296875
354224800030100027,Yng,3,2282.892333984375
354224800048100038,Yng,3,994.7948608398438
354224800050100316,Yng,3,2671.4306640625
354224800052100254,Yng,3,1160.570556640625
354224800054100052,Yng,3,2965.44091796875
354224800056100052,Yng,3,3113.824462890625
354224800071200063,Yng,3,1057.763427734375
354224800075100035,Yng,3,2836.722412109375
354224800076100244,Yng,3,1921.142333984375
354224800077100055,Yng,3,2961.720947265625
354224800077100145,Yng,3,2631.6728515625
354224800078100065,Yng,3,1119.600830078125
354224800095100131,Yng,3,2969.882080078125
354224800100100325,Yng,3,1502.73388671875
354224800112100171,Yng,3,3275.1162109375
354224800117100176,Yng,3,3241.575439453125
354224800120100091,Yng,3,3286.1376953125
354224800133100345,Yng,3,144.5995483398438
354224800134100373,Yng,3,2517.61328125
